Country,Population_Total,Population_Density
Afghanistan,38041.757,58.269
Albania,2880.913,105.143
Algeria,43053.054,18.076
Andorra,77.146,164.14
Angola,31825.299,25.528
Anguilla,14.872,165.244
Antigua and Barbuda,97.115,220.716
Argentina,44780.675,16.363
Armenia,2957.728,103.889
Aruba,106.31,590.611
Australia,25203.2,3.281
Austria,8955.108,108.667
Azerbaijan,10047.719,121.558
Bahamas,389.486,38.91
Bahrain,1641.164,2159.426
Bangladesh,163046.173,1252.563
Barbados,287.021,667.491
Belarus,9452.409,46.584
Belgium,11539.326,381.087
Belize,390.351,17.113
Benin,11801.151,104.657
Bermuda,62.508,1250.16
Bhutan,763.094,20.02
Bolivia (Plurinational State of),11513.102,10.628
"Bonaire, Sint Eustatius and Saba",25.983,79.216
Bosnia and Herzegovina,3300.998,64.725
Botswana,2303.703,4.065
Brazil,211049.519,25.251
British Virgin Islands,30.033,200.22
Brunei Darussalam,433.296,82.219
Bulgaria,7000.117,64.482
Burkina Faso,20321.383,74.274
Burundi,11530.577,449.01
Cabo Verde,549.936,136.461
Cambodia,16486.542,93.398
Cameroon,25876.387,54.741
Canada,37411.038,4.114
Cayman Islands,64.948,270.617
Central African Republic,4745.179,7.617
Chad,15946.882,12.664
Chile,18952.035,25.489
China,1433783.692,152.722
Colombia,50339.443,45.371
Comoros,850.891,457.222
Congo,5380.504,15.756
Costa Rica,5047.561,98.855
Côte d’Ivoire,25716.554,80.87
Croatia,4130.299,73.808
Cuba,11333.484,106.478
Curacao,163.423,368.07
Cyprus,1198.574,129.716
Czechia,10689.213,138.39
Democratic Republic of the Congo,86790.568,38.283
Denmark,5771.877,136.033
Djibouti,973.557,42
Dominica,71.808,95.744
Dominican Republic,10738.957,222.247
Ecuador,17373.657,69.954
Egypt,100388.076,100.847
El Salvador,6453.55,311.465
Equatorial Guinea,1355.982,48.342
Eritrea,3497.117,34.625
Estonia,1325.649,31.273
Eswatini,1148.133,66.752
Ethiopia,112078.727,112.079
Falkland Islands (Malvinas),3.372,0.277
Faroe Islands,48.677,34.869
Fiji,889.955,48.711
Finland,5532.159,18.204
France,65129.731,118.946
French Guiana,290.823,3.538
French Polynesia,279.285,76.307
Gabon,2172.578,8.432
Gambia,2347.696,231.986
Georgia,3996.762,57.516
Germany,83517.046,239.606
Ghana,30417.858,133.681
Gibraltar,33.706,3370.6
Greece,10473.452,81.253
Greenland,56.66,0.138
Grenada,112.002,329.418
Guadeloupe,400.048,245.73
Guam,167.295,309.806
Guatemala,17581.476,164.068
Guinea,12771.246,51.975
Guinea-Bissau,1920.917,68.311
Guyana,782.775,3.977
Haiti,11263.079,408.675
Holy See,0.815,1852.273
Honduras,9746.115,87.104
Hungary,9684.68,106.978
Iceland,339.037,3.382
India,1366417.756,459.58
Indonesia,270625.567,149.387
Iran (Islamic Republic of),82913.893,50.913
Iraq,39309.789,90.509
Ireland,4882.498,70.874
Isle of Man,84.589,148.402
Israel,8519.373,393.686
Italy,60550.092,205.855
Jamaica,2948.277,272.232
Japan,126860.299,347.987
Jersey,172.264,906.653
Jordan,10101.697,113.783
Kazakhstan,18551.428,6.872
Kenya,52573.967,92.374
Kosovo,1810.366,166.3
Kuwait,4207.077,236.087
Kyrgyzstan,6415.851,33.451
Lao People's Democratic Republic,7169.456,31.064
Latvia,1906.74,30.655
Lebanon,6855.709,670.157
Lesotho,2125.267,70.002
Liberia,4937.374,51.26
Libya,6777.453,3.852
Liechtenstein,38.02,237.625
Lithuania,2759.631,44.032
Luxembourg,615.73,237.734
Madagascar,26969.306,46.355
Malawi,18628.749,197.59
Malaysia,31949.789,97.245
Maldives,530.957,1769.857
Mali,19658.023,16.111
Malta,440.377,1376.178
Martinique,375.557,354.299
Mauritania,4525.698,4.391
Mauritius,1269.67,625.453
Mayotte,266.153,709.741
Mexico,127575.529,65.627
Monaco,38.967,26152.349
Mongolia,3225.166,2.076
Montenegro,627.988,46.691
Montserrat,4.991,49.91
Morocco,36471.766,81.72
Mozambique,30366.043,38.615
Myanmar,54045.422,82.728
Namibia,2494.524,3.03
Nepal,28608.715,199.572
Netherlands,17097.123,507.032
New Caledonia,282.757,15.468
New Zealand,4783.062,18.165
Nicaragua,6545.503,54.392
Niger,23310.719,18.403
Nigeria,200963.603,220.652
North Macedonia,2083.458,82.611
Northern Mariana Islands  (Commonwealth of the),57.213,124.376
Norway,5378.859,14.726
"occupied Palestinian territory, including east Jerusalem",4981.422,827.479
Oman,4974.992,16.074
Pakistan,216565.317,280.933
Panama,4246.44,57.122
Papua New Guinea,8776.119,19.379
Paraguay,7044.639,17.731
Peru,32510.462,25.399
Philippines,108116.622,362.601
Poland,37887.771,123.723
Portugal,10226.178,111.652
Puerto Rico,2933.404,330.711
Qatar,2832.071,243.934
Republic of Korea,51225.321,526.847
Republic of Moldova,4043.258,123.082
Romania,19364.558,84.132
Russian Federation,145872.26,8.907
Rwanda,12626.938,511.834
Réunion,888.932,355.573
Saint Barthélemy,9.853,447.864
Saint Kitts and Nevis,52.834,203.208
Saint Lucia,182.795,299.664
Saint Martin,38.002,717.019
Saint Pierre and Miquelon,5.821,25.309
Saint Vincent and the Grenadines,110.593,283.572
San Marino,33.864,564.4
Sao Tome and Principe,215.048,224.008
Saudi Arabia,34268.529,15.941
Senegal,16296.362,84.643
Serbia,8772.228,100.3
Seychelles,97.741,212.48
Sierra Leone,7813.207,108.246
Singapore,5804.343,8291.919
Sint Maarten,42.389,1246.735
Slovakia,5457.012,113.48
Slovenia,2078.654,103.21
Somalia,15442.906,24.616
South Africa,58558.267,48.272
South Sudan,11062.114,18.106
Spain,46736.782,93.698
Sri Lanka,21323.734,340.037
Sudan,42813.237,24.256
Suriname,581.363,3.727
Sweden,10036.391,24.459
Switzerland,8591.361,217.415
Syrian Arab Republic,17070.132,92.959
Tajikistan,9321.023,66.598
Thailand,69625.581,136.283
Timor-Leste,1293.12,86.962
Togo,8082.359,148.6
Trinidad and Tobago,1394.969,271.924
Tunisia,11694.721,75.275
Turkey,83429.607,108.402
Turks and Caicos Islands,38.194,40.204
Uganda,44269.587,221.558
Ukraine,43993.643,75.94
United Arab Emirates,9770.526,116.872
United Republic of Tanzania,58005.461,65.484
United States Virgin Islands,104.579,298.797
United States of America,329064.917,35.974
Uruguay,3461.731,19.779
Uzbekistan,32981.715,77.531
Venezuela (Bolivarian Republic of),28515.829,32.329
Viet Nam,96462.108,311.098
Yemen,29161.922,55.234
Zambia,17861.034,24.026
Zimbabwe,14645.473,37.858
